  KIC   numax  e_numax   dnu e_dnu  dpi e_dpi  q e_q   eps_g e_eps_g    rot  e_rot
  3216334  117.90  1.41   9.93 0.06   75.43 0.07  0.11 0.02   0.381 0.114   300  20
  3217051   36.20  0.53   4.21 0.03  314.93 0.23  0.28 0.03  -0.144 0.070    45  11
  3218312   78.40  0.97   7.47 0.04   70.89 0.02  0.12 0.02  -0.052 0.062   530  15
  3221086   84.80  1.03   7.90 0.04   72.84 0.03  0.12 0.02   0.193 0.065   999 999
  3222326   22.40  0.42   3.38 0.03  318.50 0.19  0.23 0.03   0.196 0.086    30   7
  3222740   76.30  0.90   6.95 0.04   70.01 0.04  0.12 0.02   0.038 0.110   380  16
  3222834  170.10  2.03  13.96 0.06   84.40 0.16  0.13 0.02   0.334 0.142   410  29
  3231503   42.80  0.54   4.27 0.03  224.40 0.19  0.25 0.03  -0.073 0.095    65  16
  3232810   32.20  0.50   3.95 0.04  268.21 0.16  0.25 0.03  -0.343 0.077    20   7
  3232813   33.00  0.51   4.01 0.03  262.67 0.18  0.26 0.03   0.029 0.080    30   7
  3232838   36.70  0.53   4.16 0.03  247.14 0.14  0.26 0.03  -0.022 0.067    40  10
  3234396   31.30  0.51   4.02 0.04  261.73 0.16  0.25 0.03   0.005 0.073    30   7
  3234655   40.00  0.57   4.51 0.04  286.61 0.14  0.26 0.04  -0.024 0.042    30   7
  3234703   81.00  0.90   6.82 0.04  262.65 0.45  0.23 0.03  -0.029 0.087    70  17
  3235216   39.50  0.53   4.19 0.04  274.69 0.30  0.28 0.04  -0.134 0.110    20   7
  3235616  103.40  1.13   8.38 0.04  212.16 0.60  0.21 0.02  -0.080 0.144    80  20
  3236108   38.90  0.55   4.35 0.04  319.00 0.18  0.24 0.03  -0.267 0.047    50  12
  3238859   50.30  0.65   5.07 0.04  241.66 0.21  0.29 0.03   0.003 0.077    30   7
  3241374   37.60  0.53   4.17 0.03  251.35 0.16  0.30 0.03  -0.029 0.074    30   7
  3241822   38.40  0.55   4.36 0.04  282.00 0.19  0.33 0.04  -0.094 0.066    30   7
  3245449  205.60  2.72  14.96 0.09   81.91 0.12  0.13 0.02   0.307 0.091   250  24
  3247146   65.60  0.86   6.69 0.04   69.53 0.03  0.12 0.02   0.202 0.106   430  16
  3247531   38.20  0.54   4.25 0.04  297.80 0.20  0.34 0.04  -0.213 0.067    30   7
  3323401   30.70  0.50   3.96 0.04  295.30 0.20  0.29 0.04   0.013 0.080    30   7
  3324929   47.80  0.62   4.87 0.04  301.79 0.25  0.27 0.03  -0.158 0.058    30   7
  3337400   47.40  0.62   4.87 0.04  315.47 0.21  0.28 0.03  -0.024 0.047    30   7
  3337536  111.10  1.37  10.21 0.05   77.79 0.03  0.14 0.02   0.242 0.043   530  15
  3339203   39.40  0.57   4.47 0.04  303.36 0.25  0.29 0.04  -0.091 0.072    30   7
  3339762   34.20  0.49   3.89 0.04  303.00 0.22  0.29 0.04  -0.071 0.076    31   7
  3339951   31.30  0.51   4.04 0.04  305.82 0.21  0.24 0.03   0.076 0.075    30   7
  3341327   37.20  0.53   4.23 0.04  255.07 0.16  0.22 0.03  -0.304 0.071    40  10
  3341413   76.00  0.85   6.39 0.04  255.92 0.38  0.25 0.03  -0.211 0.085    50  12
  3342658   36.40  0.53   4.19 0.03  249.11 0.14  0.29 0.03  -0.063 0.066    30   7
  3343372   41.90  0.56   4.38 0.04  254.82 0.23  0.22 0.03  -0.079 0.087    30   7
  3343630   87.80  1.04   7.99 0.04   73.04 0.06  0.12 0.02   0.110 0.139   250  18
  3345441   34.50  0.53   4.22 0.04  301.85 0.22  0.32 0.04  -0.206 0.068    30   7
  3346284   32.10  0.52   4.10 0.04  294.50 0.22  0.30 0.04   0.037 0.086    30   7
  3346725  136.50  1.62  11.44 0.05   79.07 0.05  0.14 0.02   0.282 0.055   460  17
  3347431   68.90  0.89   6.91 0.04   71.36 0.03  0.12 0.02   0.336 0.094   150  13
  3348124   32.80  0.53   4.16 0.04  333.50 0.21  0.27 0.04  -0.043 0.064    30   7
  3348134   32.20  0.52   4.13 0.04  323.04 0.18  0.32 0.04  -0.049 0.058    30   7
  3354827  207.60  2.83  16.01 0.09   88.01 0.23  0.16 0.02   0.209 0.137   250  35
  3355015   25.80  0.43   3.39 0.03  292.24 0.13  0.23 0.03  -0.101 0.064    25   7
  3355034   37.00  0.52   4.13 0.04  249.79 0.20  0.28 0.03  -0.118 0.093    30   7
  3425476   39.80  0.56   4.43 0.04  271.13 0.13  0.20 0.03   0.040 0.050    30   7
  3425675   31.80  0.51   4.05 0.04  327.89 0.29  0.32 0.04  -0.309 0.093    30   7
  3426673  176.40  2.05  13.56 0.06   80.68 0.21  0.14 0.02   0.347 0.075   432  37
  3426898   63.90  0.84   6.57 0.04   69.46 0.02  0.10 0.02   0.001 0.080   275  13
  3427908  136.90  1.71  11.58 0.07   79.25 0.04  0.14 0.02   0.234 0.048   230  14
  3428530  193.60  2.32  15.18 0.06   86.20 0.10  0.16 0.02   0.397 0.075   700  28
  3428577  137.30  1.73  12.04 0.06   80.67 0.19  0.14 0.02   0.278 0.131   280  33
  3430007  115.70  1.42  10.30 0.05   77.78 0.01  0.14 0.02   0.253 0.019   640  14
  3430674  131.20  1.56  11.30 0.05   80.15 0.12  0.13 0.02   0.334 0.123   540  28
  3432802  143.60  1.63  11.58 0.05   77.52 0.06  0.12 0.02   0.246 0.076   530  20
  3437031   62.60  0.73   5.56 0.04  285.47 0.34  0.28 0.03  -0.068 0.075    30   7
  3438609   83.40  0.90   6.80 0.04  297.71 0.75  0.25 0.03  -0.224 0.106    90  22
  3439353   84.70  0.99   7.62 0.04   69.15 0.04  0.12 0.02   0.206 0.115   360  16
  3448427  109.30  1.34   9.82 0.05   76.53 0.05  0.14 0.02   0.371 0.094   370  17
  3449079   34.70  0.53   4.16 0.04  268.40 0.25  0.22 0.03  -0.030 0.098    37   9
  3449224   28.20  0.45   3.61 0.03  320.66 0.25  0.23 0.03  -0.060 0.096    20   7
  3453419   45.60  0.59   4.63 0.04  320.66 0.32  0.23 0.03  -0.113 0.078    65  16
