 KIC incl e_incl_pos e_incl_neg n_comp
 6469446 47.3 16.2 16.2 3
 6502598 78.0 12.0  7.3 2
 6504978 27.0 11.6 27.0 1
 6507794 14.5  6.1 14.5 1
 6579495 48.0 16.8 16.8 3
 6584555 59.3 12.3 12.3 3
 6592034 19.4  8.2 19.4 1
 6612102 71.2 17.2 17.2 3
 6620586 56.6 16.3 16.3 2
 6633766 72.3 17.7  7.1 2
 6665058 64.0 17.0 17.0 2
 6678433 69.1 11.5 11.5 3
 6680023 74.3 15.7 12.3 2
 6689517 30.1 13.0 30.1 1
 6690139 73.8 16.2  6.8 2
 6690894 38.2 11.4 11.4 3
 6720334 28.0 12.0 28.0 1
 6751562 55.5 11.6 11.6 3
 6752116 24.6 10.5 24.6 1
 6756156 62.5 13.4 13.4 2
 6762465 71.2 18.8  7.4 2
 6764685 74.4  6.6  6.6 2
 6767165 31.4 13.7 31.4 1
 6774693 71.8  7.1  7.1 2
 6776349 63.5  8.2  8.2 3
 6776396 65.7 11.9 11.9 3
 6779699 67.7 13.0 13.0 2
 6785068 36.8 16.2 36.8 1
 6786177 27.1 11.6 27.1 1
 6793808 33.0 14.4 33.0 1
 6837573 58.2 14.1 14.1 3
 6841793 50.1 13.8 13.8 3
 6847876 25.3 10.8 25.3 1
 6853977 68.1 21.9  7.3 2
 6859803 16.0  6.7 16.0 1
 6860649 67.6 13.7 13.7 3
 6863899 63.7 14.0 14.0 3
 6868144 76.5 13.6  6.6 2
 6875474 65.4 16.9 16.9 3
 6876162 74.6 15.4  5.6 2
 6879830 70.1 19.9  6.6 2
 6924105 75.5 14.5  8.7 2
 6925109 73.5  8.0  8.0 2
 6925158 62.7 10.7 10.7 3
 6928997 18.8  7.9 18.8 1
 6936091 56.4 13.2 13.2 3
 6937017 75.8 14.2  7.2 2
 6947706 30.6 13.3 30.6 1
 6951121 32.3 14.1 32.3 1
 6953912 58.0 14.2 14.2 3
 7009245 71.9 18.1 10.3 2
 7014126 69.9 20.1  9.0 2
 7018212 69.7  8.3  8.3 3
 7018515 23.4 10.0 23.4 1
 7025935 29.5 12.7 29.5 1
 7033225 68.2 10.3 10.3 3
 7041245 77.1 12.9  4.9 2
 7042040 49.4 14.1 14.1 3
 7049771 54.8 13.9 13.9 3
 7060732 65.7 11.1 11.1 3
 7090867 70.1 19.9  7.7 2
 7092127 19.4  8.2 19.4 1
 7107419 72.4 17.6  5.9 2
 7107505 68.4 21.6  7.0 2
 7108511 65.6 11.0 11.0 3
 7118457 65.8 24.2 10.2 2
 7121674 65.4 24.6  7.8 2
 7122640 37.4 15.3 15.3 3
 7128663 67.6 22.4  8.5 2
 7131794 74.8 15.2  6.8 2
 7136854 69.1 20.9  8.2 2
 7178170 22.0  9.3 22.0 1
 7186744 77.5 12.5  9.6 2
 7188662 47.8 12.6 12.6 3
 7189418 77.9 12.1  6.1 2
 7198587 68.8 21.2  8.0 2
 7207127 74.1 15.9  7.9 2
 7217530 72.1  7.1  7.1 2
 7218915 23.9 10.1 23.9 1
 7257175 61.9 12.6 12.6 3
 7258188 33.8 14.8 33.8 1
 7265189 61.1  9.7  9.7 3
 7270385 75.3 14.7  7.4 2
 7283405 66.7 23.3  6.7 2
 7288938 69.1 20.9  6.1 2
 7292720 54.8 10.1 10.1 3
 7295725 74.6 15.4  8.5 2
 7302117 79.2 10.8  5.2 2
 7348314 55.3 13.2 13.2 3
 7348956 58.7 11.4 11.4 2
 7350897 74.5 15.5  6.2 2
 7368013 67.8 22.2  6.4 2
 7376659 19.1  8.1 19.1 1
 7377547 63.5  8.5  8.5 3
 7387808 65.7 24.3  9.1 2
 7430666 73.7 16.4  7.7 2
 7439931 33.6 14.6 33.6 1
 7446296 70.6 19.4  7.1 2
 7450230 85.3  4.7  3.1 2
 7458743 76.7 13.3  6.9 2
 7468295 58.2 12.0 12.0 3
 7468893 60.4  9.4  9.4 3
 7501656 71.2  7.5  7.5 3
 7501667 75.9 14.1  6.4 2
 7502128 28.3 12.2 28.3 1
 7502157 29.0 12.5 29.0 1
 7504619 56.8 16.6 16.6 3
 7509923 72.6 17.4  8.2 2
 7510539 58.6 14.1 14.1 3
 7516156 60.4 11.6 11.6 3
 7518143 59.8 11.2 11.2 3
 7518352 54.1 13.7 13.7 3
 7529215 58.8 11.2 11.2 3
 7530088 76.6 13.4  6.7 2
 7533995 20.5  8.6 20.5 1
 7538899 28.0 12.1 28.0 1
 7546098 42.1 16.3 16.3 3
 7581822 62.1 15.2 15.2 3
 7584122 55.8  8.4  8.4 3
 7591451 27.4 11.7 27.4 1
 7609801 31.2 13.5 31.2 1
 7611069 39.6 21.6 21.6 3
 7612755 21.4  9.1 21.4 1
 7617028 64.0  9.0  9.0 3
 7617912 56.4  9.7  9.7 3
 7619745 78.1 11.9  4.8 2
 7619946 78.5 11.5  5.8 2
 7621561 45.7 14.0 14.0 3
 7621593 72.6  8.4  8.4 2
 7624334 69.1 20.9 10.3 2
 7629559 75.9 14.1  6.8 2
 7630302 56.6 20.3 20.3 3
 7630743 19.6  8.3 19.6 1
 7661080 36.1 12.3 12.3 3
 7661600 53.3 12.6 12.6 3
 7674224 48.7 19.1 19.1 3
 7685657 55.7 11.7 11.7 3
 7687390 74.3 15.7  5.9 2
 7690739 30.6 13.2 30.6 1
 7691952 46.4 17.3 17.3 3
 7696229 69.9 20.1  8.0 2
 7696976 39.4 17.6 39.4 1
 7697633 51.4 15.9 15.9 3
 7698688 25.0 10.7 25.0 1
 7728741 67.7 22.4  6.9 2
 7728958 74.4 15.6  7.7 2
 7730215 56.9 15.1 15.1 3
 7733106 33.7 14.7 33.7 1
 7750189 69.3 20.7  7.5 2
 7761336 45.3 15.0 15.0 3
 7762104 75.2 14.8  5.3 2
 7765258 53.7 12.2 12.2 3
 7769544 52.7 16.0 16.0 3
 7771045 45.4 15.4 15.4 3
 7777395 74.7 15.3  8.1 2
 7778197 33.6 14.7 33.6 1
 7798570 69.3 20.7  9.8 2
 7799904 52.0 12.4 12.4 3
 7809050 22.6  9.6 22.6 1
 7810876 73.0 17.0  7.5 2
 7815838 63.8 15.6 15.6 3
 7818152 74.3 15.7  7.0 2
 7821385 30.0 13.0 30.0 1
 7836711 68.6  9.3  9.3 2
 7849791 73.7 16.3  6.0 2
